Date,SBUX,WMT,WST,TSLA,GME
2022-01-04,111.585,139.802,427.966,383.197,37.2275
2022-01-03,113.97,142.41,444.841,399.927,38.21
2021-12-31,114.254,142.45,467.877,352.26,37.0975
2021-12-30,113.537,140.953,470.204,356.78,38.8325
2021-12-29,113.676,140.506,466.859,362.063,38.4825
2021-12-28,112.89,140.565,463.754,362.823,36.615
2021-12-27,111.565,138.582,464.762,364.647,37.0775
2021-12-23,109.758,137.332,458.731,355.667,38.035
2021-12-22,109.15,137.639,452.52,336.29,38.5
2021-12-21,107.804,137.461,443.453,312.843,39.53
2021-12-20,105.576,137.044,437.971,299.98,39.285
2021-12-17,106.106,136.608,448.725,310.857,38.91
2021-12-16,110.956,141.121,443.753,308.973,36.1475
2021-12-15,112.016,143.512,442.455,325.33,37.1475
2021-12-14,112.046,142.698,427.656,319.503,36.9225
2021-12-13,112.88,141.349,439.848,322.137,34.22
2021-12-10,114.02,138.85,430.532,339.01,39.7525
2021-12-09,112.673,136.36,428.156,334.6,38.94
2021-12-08,113.547,134.485,434.456,356.32,43.4125
2021-12-07,113.557,135.854,428.934,350.583,44.4525
2021-12-06,110.73,136.3,422.563,336.337,41.78
2021-12-03,108.659,134.843,433.079,338.323,43.0975
2021-12-02,108.836,132.838,436.334,361.533,45.39
2021-12-01,106.136,134.475,434.356,365.0,44.96
2021-11-30,107.097,137.897,441.595,381.587,49.0525
2021-11-29,108.157,139.862,446.298,378.997,50.5025
2021-11-26,108.09,142.083,437.822,360.64,49.93
2021-11-24,111.329,143.69,432.669,372.0,52.945
2021-11-23,110.946,142.986,429.653,369.677,53.475
2021-11-22,108.864,141.964,436.623,385.623,61.8875
2021-11-19,108.207,139.624,447.367,379.02,57.2
2021-11-18,110.278,140.387,448.276,365.46,52.53
2021-11-17,109.905,139.187,443.593,363.003,52.5
2021-11-16,109.621,140.397,441.167,351.577,51.795
2021-11-15,109.277,144.057,421.445,337.797,52.285
2021-11-12,109.131,144.891,418.2,344.473,50.525
2021-11-11,108.855,145.614,415.873,354.503,51.08
2021-11-10,110.622,145.555,408.494,355.983,49.7975
2021-11-09,111.005,146.884,413.107,341.167,51.65
2021-11-08,112.006,146.368,412.089,387.647,54.66
2021-11-05,113.705,147.311,402.632,407.363,53.3125
2021-11-04,109.091,148.342,431.83,409.97,54.46
2021-11-03,109.523,147.261,436.962,404.62,54.5825
2021-11-02,108.394,146.815,436.782,390.667,51.7475
2021-11-01,106.793,146.884,425.519,402.863,50.0225
2021-10-29,103.161,146.517,428.654,371.333,45.8775
2021-10-28,110.092,145.565,419.938,359.013,45.7125
2021-10-27,110.397,144.663,420.147,345.953,43.3775
2021-10-26,111.772,145.862,419.108,339.477,44.46
2021-10-25,111.565,147.142,416.243,341.62,43.4925
2021-10-22,111.408,145.466,419.998,303.227,42.45
2021-10-21,111.309,143.958,421.036,298.0,45.4275
2021-10-20,110.74,143.164,413.417,288.6,46.13
2021-10-19,110.377,141.875,416.383,288.09,46.6975
2021-10-18,110.259,138.929,407.555,290.037,46.505
